site,elevation,focal.species,background.species,pair,origin.focal,origin.background,origin.pair,type,surv.int,surv.slope,surv.sd.global,n.survival,growth.int,growth.slope,growth.slope.qudratic,growth.sd.global,n.growth,growth.sd,growth.sd.int,growth.sd.slope,n.growth.sd,flowering.int,flowering.slope,flowering.sd.global,n.flowering,fecundity.int,fecundity.slope,fecundity.sd.global,n.fecundity,germination.prob,germination.sd.global,n.germination,establishment.funiche.int,establishment.funiche.sd.global,n.establishment.funiche,establishment.comp.int,establishment.comp.sd.global,n.establishment.comp,seedling.size.mean,seedling.size.sd,n.seedling.size,L,U,n.size.range,pgr,comment,bootstrap
Anzeindaz,1900,Brer,site_none,yes,Lowland,None,None,None,2.959044639,0.32810619,NA,250,1.369285004,0.796130411,NA,NA,231,0.867057622,NA,NA,NA,-1.741987107,1.925405665,NA,338,2.489923087,1.301020707,NA,111,0.144265233,NA,20,-0.251314428,NA,16,2.662587827,NA,19,-3.473870387,0.525498592,20,-4.482952553,5.036347087,338,NA,NA,0
Anzeindaz,1900,Crbi,site_none,yes,Lowland,None,None,None,0.919877803,-0.99417782,NA,211,1.611637779,0.480253845,NA,NA,137,0.94202415,NA,NA,NA,-4.197993542,2.994052349,NA,237,6.012576298,0.551513377,NA,61,0.023378076,NA,20,2.48490665,NA,10,21.56606851,NA,27,-2.072037809,0.502200116,20,-3.519737231,3.79229474,238,NA,NA,0
Anzeindaz,1900,Daca,site_none,yes,Lowland,None,None,None,-0.565772099,-0.959976236,NA,177,1.558276249,0.557390499,NA,NA,109,1.31988762,NA,NA,NA,1.325037284,3.815942977,NA,187,5.526327298,1.115617288,NA,58,0.04,NA,0,20,NA,0,1.791759469,NA,14,-2.884157614,0.893370379,49,-4.448166437,3.434106956,187,NA,NA,0
Anzeindaz,1900,Melu,site_none,yes,Lowland,None,None,None,0.498784332,-0.362082178,NA,218,1.388657301,0.347305014,NA,NA,135,1.15528101,NA,NA,NA,-0.293454407,1.529260738,NA,252,5.884233182,1.015396893,NA,118,0.041484185,NA,20,0.730887509,NA,16,38.71290661,NA,39,-2.617288451,0.571528906,40,-3.876173353,4.380457905,252,NA,NA,0
Anzeindaz,1900,Plal,site_none,yes,Highland,None,None,None,7.718223129,1.440103593,NA,225,0.885020831,0.52210492,NA,NA,222,0.964743769,NA,NA,NA,0.328443656,1.535002834,NA,306,4.543144862,1.108001813,NA,134,0.024492234,NA,20,0.594707108,NA,16,3.33220451,NA,3,-3.501290859,0.437417482,20,-4.135166557,3.538535427,306,NA,NA,0
Anzeindaz,1900,Plla,site_none,yes,Lowland,None,None,None,3.94882015,-0.266421373,NA,206,1.219926366,0.531877606,NA,NA,202,1.179372408,NA,NA,NA,-0.261330116,2.299580309,NA,284,3.84408341,1.178323909,NA,135,0.18723176,NA,20,1.446918983,NA,20,3.663561646,NA,40,-2.63919995,0.432468178,16,-3.576204972,3.847114766,284,NA,NA,0
Anzeindaz,1900,Poal,site_none,yes,Highland,None,None,None,4.085837748,0.250432911,NA,169,-0.16087456,0.423182565,NA,NA,164,1.062459323,NA,NA,NA,0.916401793,1.292338538,NA,237,6.513593402,0.85684553,NA,90,0.100715308,NA,20,1.299282984,NA,14,1.481604541,NA,27,-3.102162294,0.598021055,20,-4.315506079,2.301584593,242,NA,NA,0
Anzeindaz,1900,Potr,site_none,yes,Lowland,None,None,None,4.034459831,0.45436797,NA,221,-0.657525543,0.261551232,NA,NA,205,1.353119886,NA,NA,NA,2.02066399,2.359277701,NA,295,5.498510484,0.987321846,NA,112,0.001844606,NA,20,0.980829253,NA,3,1.430746124,NA,8,-2.70451344,0.636531962,39,-6.632838958,2.508180482,295,NA,NA,0
Anzeindaz,1900,Sapr,site_none,yes,Lowland,None,None,None,7.411489722,1.773539436,NA,242,0.863732154,0.924078652,NA,NA,237,1.053108767,NA,NA,NA,-1.086336961,3.604492346,NA,332,3.417806419,1.445211242,NA,67,0.056967572,NA,20,0.934309237,NA,13,25.56606926,NA,5,-2.095795687,0.539515612,20,-3.435788826,4.110243699,332,NA,NA,0
Anzeindaz,1900,Seca,site_none,yes,Highland,None,None,None,8.93158516,2.151089897,NA,212,1.044179815,0.842008956,NA,NA,196,0.7754759,NA,NA,NA,-3.11540307,2.341694395,NA,294,3.391397233,1.226569295,NA,28,0.004938272,NA,20,-0.693147181,NA,4,19.56606854,NA,23,-3.059477788,1.361763629,40,-5.240048458,3.507995133,295,NA,NA,0
Anzeindaz,1900,Trba,site_none,yes,Highland,None,None,None,2.187224681,0.448801307,NA,228,0.534311425,0.708457708,NA,NA,169,0.89566336,NA,NA,NA,1.355395843,2.033455153,NA,302,6.331716001,0.86067076,NA,103,0.035120148,NA,20,0.510825624,NA,16,4.669650056,NA,53,-3.424490788,1.234532159,58,-5.952243834,1.701557496,302,NA,NA,0
Les Posses,890,Anal,site,yes,Highland,None,None,None,0.753156739,-0.296423201,NA,142,2.242722846,0.544759189,NA,NA,97,0.864870343,NA,NA,NA,0.198214874,2.098502585,NA,158,4.307020788,1.094765369,NA,84,0.088565022,NA,20,0.277631737,NA,18,2.708050201,NA,21,-3.091460995,0.864587193,40,-4.767689115,4.652003235,158,4.517243404,NA,0
Les Posses,890,Armo,site,yes,Highland,None,None,None,0.277422709,0.688027552,NA,66,-1.246486086,0.755786855,NA,NA,5,0.732053127,NA,NA,NA,-400,0,NA,NA,-800,0,NA,NA,0.004761905,NA,20,20,NA,3,-3.784189632,NA,45,-4.075211564,0.43619333,10,-4.620970029,-3.390257442,66,0.042093615,NA,0
Les Posses,890,Asal,site,yes,Highland,None,None,None,2.446148938,0.747181672,NA,105,1.346919283,1.091731115,NA,NA,56,1.089146376,NA,NA,NA,-1.229425121,1.859842877,NA,129,3.937030714,1.467915258,NA,12,0.0724365,NA,20,0.693147181,NA,15,-6.453531996,NA,71,-2.948811672,0.837905525,50,-5.649244516,2.767773593,129,0.538174998,NA,0
Les Posses,890,Brer,site,yes,Lowland,None,None,None,5.199416041,0.510629879,NA,215,1.720435855,0.678681438,NA,NA,211,1.024160969,NA,NA,NA,-1.92864006,2.356111261,NA,295,2.613330981,1.388959408,NA,141,0.453405018,NA,20,0.318453731,NA,19,2.538973871,NA,11,-3.473870387,0.525498592,20,-4.482952553,5.026255149,295,5.478123297,NA,0
Les Posses,890,Crbi,site,yes,Lowland,None,None,None,1.814473188,-1.521123477,NA,159,1.839986834,0.63264085,NA,NA,100,1.069725381,NA,NA,NA,-30.17563304,15.75058004,NA,162,4.166051492,1.344916485,NA,45,0.023378076,NA,20,2.48490665,NA,5,1.609437912,NA,12,-2.072037809,0.502200116,20,-3.343872315,4.162371734,162,3.323820509,NA,0
Les Posses,890,Daca,site,yes,Lowland,None,None,None,-0.648707091,-0.980466757,NA,137,2.31076082,0.180674563,NA,NA,73,1.724531781,NA,NA,NA,-3.766737562,3.763538799,NA,140,6.171855339,0.89485456,NA,45,0.055,NA,0,20,NA,0,0.451985124,NA,36,-2.884157614,0.893370379,49,-4.448166437,4.194835575,140,9.605375377,NA,0
Les Posses,890,Melu,site,yes,Lowland,None,None,None,-0.441149536,-0.695499126,NA,162,1.153934514,0.207978439,NA,NA,76,1.023671901,NA,NA,NA,1.570087093,2.980407481,NA,175,5.921869651,1.181108371,NA,92,0.041484185,NA,20,0.730887509,NA,6,0.72507742,NA,55,-2.617288451,0.571528906,40,-3.980604025,2.77644814,175,4.560206847,NA,0
Les Posses,890,Plal,site,yes,Highland,None,None,None,3.06938434,0.248775008,NA,144,0.679114463,0.769581297,NA,NA,133,1.029155688,NA,NA,NA,0.147312594,2.194558292,NA,192,4.369197488,1.133007818,NA,52,0.023894863,NA,20,0.594707108,NA,10,3.33220451,NA,14,-3.501290859,0.437417482,20,-5.123462107,2.925941376,200,1.693235829,NA,0
Les Posses,890,Plla,site,yes,Lowland,None,None,None,0.886352333,-0.508166683,NA,144,1.100714385,0.548697193,NA,NA,104,1.288414018,NA,NA,NA,-0.562499468,2.507935996,NA,174,4.258466613,1.151160075,NA,67,0.18723176,NA,20,1.446918983,NA,3,3.401197382,NA,26,-2.63919995,0.432468178,16,-3.509896799,3.088123283,174,4.562301332,NA,0
